date,open,high,low,close,volume,tradecount
7/10/2020,10599.65,10681.87,10546.17,10666.39,348298562.9,503440
6/10/2020,10792.2,10800,10525,10599.66,520051256.1,734526
5/10/2020,10666.62,10798,10615.64,10792.21,364158510.2,483340
4/10/2020,10542.07,10696.87,10517.87,10666.63,246252050.9,377553
3/10/2020,10570.4,10603.56,10496.46,10542.06,235160884.6,381329
2/10/2020,10619.13,10664.64,10374,10570.4,526864379.3,777193
1/10/2020,10776.59,10920,10437,10619.13,652168989.5,794855
30/09/2020,10840.58,10849.34,10665.13,10776.59,425279696.3,595383
29/09/2020,10696.11,10867.54,10635.87,10840.48,449345822.5,587576
28/09/2020,10774.26,10950,10626,10696.12,544463219.6,686664
27/09/2020,10728.59,10799,10594.82,10774.25,327169249.5,516004
26/09/2020,10686.57,10820.94,10644.68,10728.6,304511477.7,502670
25/09/2020,10736.33,10760.53,10556.24,10686.67,512647249.1,733430
24/09/2020,10241.46,10795.24,10190.93,10736.32,604520870.1,789282
23/09/2020,10529.61,10537.15,10136.82,10241.46,539362015.2,774391
22/09/2020,10417.22,10572.71,10353,10529.61,460362500.7,738576
21/09/2020,10920.28,10988.86,10296.35,10417.22,751020795.2,1028531
